Farmácia,Nome,Marca,GTIN,Codigo,Sub_categoria,Preco_unitario,Preco_com_desconto,Preco_pix,Desconto,Desconto_com_pix,Link,Desconto_percentual,Desconto_pix_percentual
Vera Cruz,Engov 6 comprimidos,Hypera,7896094903104,,,10.59,8.35,8.35,2.24,2.24,https://www.drogariaveracruz.com.br/engov-6-comprimidos/p,,
Vera Cruz,Ferro 100mg Biolab 30 comprimidos mastigáveis,Biolab,7896112401667,,,62.92,59.77,59.77,3.15,3.15,https://www.drogariaveracruz.com.br/ferro-100mg-biolab-30-comprimidos-mastigaveis/p,,
Vera Cruz,"Iumi ES 3mg + 0,02mg 120 comprimidos",Libbs,7896094210295,,,246.3,170.81,170.81,75.49,75.49,https://www.drogariaveracruz.com.br/iumi-es-3mg-002mg-120-comprimidos/p,,
Vera Cruz,"Naprix D 5mg + 12,5mg 30 cápsulas duras",Libbs,7896094203266,,,77.47,55.2,55.2,22.27,22.27,https://www.drogariaveracruz.com.br/naprix-d-5mg-125mg-30-capsulas-duras/p,,
Vera Cruz,Antiácido Gastrol Blister 20 Pastilhas,Hypera,7896622300443,,,22.08,17.41,17.41,4.67,4.67,https://www.drogariaveracruz.com.br/antiacido-gastrol-blister-20-pastilhas/p,,
Vera Cruz,Siilif 100mg 60 comprimidos revestidos,Takeda,7896641806414,,,197.5,150.1,150.1,47.4,47.4,https://www.drogariaveracruz.com.br/siilif-100mg-60-comprimidos-revestidos/p,,
Vera Cruz,Glifage 500mg 30 comprimidos revestidos,Merck,7891721000614,,,30.34,23.92,23.92,6.42,6.42,https://www.drogariaveracruz.com.br/glifage-500mg-30-comprimidos-revestidos/p,,
Vera Cruz,Plenance EZE 10mg+10mg 30 cápsulas,Libbs,7896094210059,,,96.81,72.66,72.66,24.15,24.15,https://www.drogariaveracruz.com.br/plenance-eze-10mg10mg-30-capsulas/p,,
Vera Cruz,Kit Solução para Lentes Bio Soak Olhos Sensíveis 360ml+120ml + Estojo para Lentes,Teuto,7896112165538,,,51.9,44.37,44.37,7.53,7.53,https://www.drogariaveracruz.com.br/kit-solucao-para-lentes-bio-soak-olhos-sensiveis-360ml120ml-estojo-para-lentes/p,,
Vera Cruz,Capilarema 75mg 60 comprimidos,Baldacci,7897851221158,,,119.66,90.94,90.94,28.72,28.72,https://www.drogariaveracruz.com.br/capilarema-75mg-60-comprimidos/p,,
Vera Cruz,Angino Rub Sabor Mel e Limão Com 16 Pastilhas,Eurofarma,7891317007256,,,21.44,12.63,12.63,8.81,8.81,https://www.drogariaveracruz.com.br/pastilhas-angino-rub-sabor-mel-e-limao-16un/p,,
Vera Cruz,Decongex Plus 12 comprimidos,Ache,7896658001901,,,31.99,25.38,25.38,6.61,6.61,https://www.drogariaveracruz.com.br/decongex-plus-12-comprimidos/p,,
Vera Cruz,Ferinject 50mg/ml 1 ampola com 10ml,Takeda,7898581710622,,,823.86,618.31,618.31,205.55,205.55,https://www.drogariaveracruz.com.br/ferinject-50mgml-1-ampola-com-10ml/p,,
Vera Cruz,Addera D3 50.000UI 4 cápsulas moles,Hypera,7897322709758,,,142.88,112.66,112.66,30.22,30.22,https://www.drogariaveracruz.com.br/vitamina-d3-addera-d3-50000ui-4-capsulas-moles/p,,
Vera Cruz,Probiótico Probians 30 cápsulas,Apsen,7896637032223,,,102.67,79.98,79.98,22.69,22.69,https://www.drogariaveracruz.com.br/probiotico-probians-30-capsulas/p,,
Vera Cruz,Luftal Gotas 75mg/ml Sabor Cereja 15ml,Luftal,7896016804915,,,31.99,25.22,25.22,6.77,6.77,https://www.drogariaveracruz.com.br/antigases-luftal-gotas-75mgml-sabor-cereja-15ml/p,,
Vera Cruz,Dozoito 25mg 30 comprimidos,Biolab Sanus,7896112402664,,,36.78,20.26,20.26,16.52,16.52,https://www.drogariaveracruz.com.br/dozoito-25mg-30-comprimidos/p,,
Vera Cruz,Almeida Prado N 18 60 Comprimidos,Almeida Prado,7898037080187,,,33.9,28.34,28.34,5.56,5.56,https://www.drogariaveracruz.com.br/complexo-homeopatico-almeida-prado-n-18-60-comprimidos/p,,
Vera Cruz,Thioctacid 600 mg 30 comprimidos revestidos,Mylan,7898560665097,,,227.08,163.95,163.95,63.13,63.13,https://www.drogariaveracruz.com.br/thioctacid-600-mg-30-comprimidos-revestidos/p,,
Vera Cruz,"Decacron 4mg/ml Solução Injetável com 2,5ml",Ache,7896658003189,,,22.48,19.01,19.01,3.47,3.47,https://www.drogariaveracruz.com.br/decacron-4mgml-solucao-injetavel-com-25ml/p,,
Vera Cruz,Valerimed 50mg 20 comprimidos revestidos,Cimed,7896523206547,,,27.34,19.74,19.74,7.6,7.6,https://www.drogariaveracruz.com.br/valerimed-50mg-20-comprimidos-revestidos/p,,
Vera Cruz,Euthyrox 50mcg 50 comprimidos,Merck,7891721014697,,,44.16,31.88,31.88,12.28,12.28,https://www.drogariaveracruz.com.br/euthyrox-50mcg-50-comprimidos/p,,
Vera Cruz,Buclina 25mg 30 comprimidos,Mantecorp,7896094928077,,,21.15,18.49,18.49,2.66,2.66,https://www.drogariaveracruz.com.br/buclina-25mg-30-comprimidos/p,,
Vera Cruz,Neo B 100mg + 100mg + 5000mcg 60 comprimidos revestidos,Eurofarma,7891317009618,,,169.75,130.63,130.63,39.12,39.12,https://www.drogariaveracruz.com.br/neo-b-100mg-100mg-5000mcg-60-comprimidos-revestidos/p,,
Vera Cruz,Toragesic 10mg 20 comprimidos sublinguais,Sigma Pharma,7894916516013,,,36.61,29.56,29.56,7.05,7.05,https://www.drogariaveracruz.com.br/toragesic-10mg-20-comprimidos-sublinguais/p,,
Vera Cruz,Rosucor 10mg 60 comprimidos revestidos,Torrent,8902220109582,,,84.36,56.1,56.1,28.26,28.26,https://www.drogariaveracruz.com.br/rosucor-10mg-60-comprimidos-revestidos/p,,
Vera Cruz,Benerva 300mg 30 comprimidos revestidos,Valeant Farm Do Brasil,7893454714325,,,35.22,30.45,30.45,4.77,4.77,https://www.drogariaveracruz.com.br/benerva-300mg-30-comprimidos-revestidos/p,,
Vera Cruz,Soanza XR 35mg 60 comprimidos,Ache,7896658038457,,,98.22,80.25,80.25,17.97,17.97,https://www.drogariaveracruz.com.br/soanza-xr-35mg-60-comprimidos/p,,
Vera Cruz,Resolor 1mg 14 comprimidos revestidos,Laboratórios Bagó,7896212424269,,,165.07,144.27,144.27,20.8,20.8,https://www.drogariaveracruz.com.br/resolor-1mg-14-comprimidos-revestidos/p,,
Vera Cruz,Espinheira Santa 380mg Herbarium 45 Cápsulas Duras,Herbarium,7896083400171,,,62.9,56.77,56.77,6.13,6.13,https://www.drogariaveracruz.com.br/espinheira-santa-380mg-herbarium-45-capsulas-duras/p,,
Vera Cruz,Neutrofer 150mg 30 comprimidos revestidos,Sigma Pharma,7894916500548,,,35.76,29.9,29.9,5.86,5.86,https://www.drogariaveracruz.com.br/neutrofer-150mg-30-comprimidos-revestidos/p,,
Vera Cruz,Tylenol Bebê 100mg/ml Sabor Frutas 15ml + Seringa Dosadora,Tylenol,7896212428861,,,57.61,42.69,42.69,14.92,14.92,https://www.drogariaveracruz.com.br/analgesico-tylenol-bebe-100mgml-sabor-frutas-15ml-seringa-dosadora/p,,
Vera Cruz,"Indapen SR 1,5mg 30 comprimidos revestidos de liberação prolongada",Torrent,8902220105676,,,40.55,28.51,28.51,12.04,12.04,https://www.drogariaveracruz.com.br/indapen-sr-15mg-30-comprimidos-revestidos-de-liberacao-prolongada/p,,
Vera Cruz,Probid 15 cápsulas,Apsen,7896637032216,,,55.9,49.97,49.97,5.93,5.93,https://www.drogariaveracruz.com.br/suplemento-alimentar-probid-15-capsulas/p,,
Vera Cruz,Strepsils Sabor Laranja 16 pastilhas,Strepsils,7891035010972,,,33.99,26.13,26.13,7.86,7.86,https://www.drogariaveracruz.com.br/pastilhas-para-garganta-strepsils-sabor-laranja-sem-acucar-16-pastilhas/p,,
Vera Cruz,Citobê 100mg + 100mg + 5000mcg 30 comprimidos revestidos,Eurofarma,7891317022105,,,86.8,67.62,67.62,19.18,19.18,https://www.drogariaveracruz.com.br/citobe-100mg-100mg-5000mcg-30-comprimidos-revestidos/p,,
Vera Cruz,Icaden 10mg/g Creme Dermatológico 20g,Leofarma,5702191025620,,,52.34,46.25,46.25,6.09,6.09,https://www.drogariaveracruz.com.br/icaden-10mgg-creme-dermatologico-20g/p,,
Vera Cruz,Qlaira Bayer 26 comprimidos ativos + 2 comprimidos inativos,Bayer,7891106904582,,,74.29,62.81,62.81,11.48,11.48,https://www.drogariaveracruz.com.br/qlaira-bayer-26-comprimidos-ativos-2-comprimidos-inativos/p,,
Vera Cruz,Puran T4 112mcg 30 comprimidos,Sanofi,7897595903372,,,34.09,23.31,23.31,10.78,10.78,https://www.drogariaveracruz.com.br/puran-t4-112mcg-30-comprimidos/p,,
Vera Cruz,"Condroflex 1,5g + 1,2g 30 sachês com pó para solução oral",Adium,7892953000328,,,157.65,104.84,104.84,52.81,52.81,https://www.drogariaveracruz.com.br/condroflex-15g-12g-30-saches-com-po-para-solucao-oral/p,,
Vera Cruz,Noripurum 100mg 30 comprimidos mastigáveis,Takeda,7898581710547,,,75.63,66.1,66.1,9.53,9.53,https://www.drogariaveracruz.com.br/noripurum-100mg-30-comprimidos-mastigaveis/p,,
Vera Cruz,Neosaldina 10 drágeas,Neosaldina,7896094921993,,,19.24,14.44,14.44,4.8,4.8,https://www.drogariaveracruz.com.br/neosaldina-10-drageas/p,,
Vera Cruz,"Oestrogel 0,6mg/g Gel 80g",Farmoquimica,7898948648179,,,84.56,68.29,68.29,16.27,16.27,https://www.drogariaveracruz.com.br/oestrogel-06mgg-gel-80g/p,,
Vera Cruz,Almeida Prado N 16 60 Comprimidos,Almeida Prado,7898037080163,,,33.9,28.34,28.34,5.56,5.56,https://www.drogariaveracruz.com.br/complexo-homeopatico-almeida-prado-n-16-60-comprimidos/p,,
Vera Cruz,Naldecon Multi 16 comprimidos,Naldecon,7896222721198,,,35.99,28.6,28.6,7.39,7.39,https://www.drogariaveracruz.com.br/naldecon-multi-16-comprimidos/p,,
Vera Cruz,Chá Vick Pyrena Sabor Camomila e Erva-Cidreira 5g,Vick,7501007447285,,,4.39,4.17,4.17,0.22,0.22,https://www.drogariaveracruz.com.br/cha-vick-pyrena-sabor-camomila-e-erva-cidreira-5g/p,,
Vera Cruz,Allegra Pediátrico 6mg/ml 60ml,Sanofi,7891058004347,,,39.08,33.78,33.78,5.3,5.3,https://www.drogariaveracruz.com.br/antialergico-allegra-pediatrico-6mgml-1-frasco-de-60ml-de-suspensao-de-uso-oral/p,,
Vera Cruz,Artrolive 500mg + 400mg 90 cápsulas,Ache,7896658004391,,,345.69,328.41,328.41,17.28,17.28,https://www.drogariaveracruz.com.br/artrolive-500mg-400mg-90-capsulas/p,,
Vera Cruz,Jardiance 10mg 30 comprimidos revestidos,Boehringer,7896026306416,,,321.27,305.21,305.21,16.06,16.06,https://www.drogariaveracruz.com.br/jardiance-10mg-30-comprimidos-revestidos/p,,
Vera Cruz,20 Bi Probiótico com 30 cápsulas,Momenta,7891317031282,,,235.9,224.11,224.11,11.79,11.79,https://www.drogariaveracruz.com.br/regulador-intestinal-20-bi-30-capsulas-com-335mg/p,,
Vera Cruz,"Level 0,10mg + 0,02mg 63 comprimidos revestidos",Biolab Sanus,7896112448358,,,91.64,67.03,67.03,24.61,24.61,https://www.drogariaveracruz.com.br/level-010mg-002mg-63-comprimidos-revestidos/p,,
Vera Cruz,Ancoron 100mg 60 comprimidos revestidos,Libbs,7896094210981,,,40.77,30.21,30.21,10.56,10.56,https://www.drogariaveracruz.com.br/ancoron-100mg-60-comprimidos-revestidos/p,,
Vera Cruz,Cloreto de Magnésio PA Ifal 33g,Ifal,7898016412961,,,10.15,8.0,8.0,2.15,2.15,https://www.drogariaveracruz.com.br/cloreto-de-magnesio-pa-ifal-33g/p,,
Vera Cruz,Clenil HFA Spray 50mcg 200 doses 10ml,Chiesi Farmaceutica Ltda.,7896672202810,,,49.99,32.77,32.77,17.22,17.22,https://www.drogariaveracruz.com.br/clenil-hfa-spray-50mcg-200-doses-10ml/p,,
Vera Cruz,Neutrofer 250mg/ml Gotas 30ml,Sigma Pharma,7894916500296,,,65.29,55.2,55.2,10.09,10.09,https://www.drogariaveracruz.com.br/neutrofer-250mgml-gotas-30ml/p,,
Vera Cruz,"Annita 500mg, 6 comprimidos revestidos",Farmoquimica,7898040321512,,,80.34,65.64,65.64,14.7,14.7,https://www.drogariaveracruz.com.br/annita-500mg-6-comprimidos-revestidos/p,,
Vera Cruz,"Moment 0,25mg/ml 60ml",Apsen,7896637023122,,,70.98,62.04,62.04,8.94,8.94,https://www.drogariaveracruz.com.br/moment-025mgml-60ml/p,,
Vera Cruz,Aspirina 500mg 10 comprimidos,Bayer,7891106004213,,,11.76,10.61,10.61,1.15,1.15,https://www.drogariaveracruz.com.br/aspirina-500mg-10-comprimidos/p,,
Vera Cruz,"Descongestionante Inalante Vick Bastão 0,5g",Vick,7896093000217,,,17.78,16.89,16.89,0.89,0.89,https://www.drogariaveracruz.com.br/descongestionante-inalante-vick-bastao-05g/p,,
Vera Cruz,"Naramig 2,5mg 4 comprimidos revestidos",Gsk,7896269900983,,,28.11,23.5,23.5,4.61,4.61,https://www.drogariaveracruz.com.br/naramig-25mg-4-comprimidos-revestidos/p,,
Vera Cruz,Phosfoenema Laxante 130ml,Supera,7896676401776,,,20.95,18.51,18.51,2.44,2.44,https://www.drogariaveracruz.com.br/laxante-phosfoenema-130ml/p,,
Vera Cruz,"Condroflex 1,5g + 1,2g Sabor Abacaxi 30 sachês com pó para solução oral",Adium,7892953003817,,,157.65,106.33,106.33,51.32,51.32,https://www.drogariaveracruz.com.br/condroflex-15g-12g-sabor-abacaxi-30-saches-com-po-para-solucao-oral/p,,
Vera Cruz,Flancox 500mg 14 comprimidos revestidos,Apsen,7896637023238,,,52.13,28.22,28.22,23.91,23.91,https://www.drogariaveracruz.com.br/flancox-500mg-14-comprimidos-revestidos/p,,
Vera Cruz,Buscofem 400mg 10 cápsulas,Hypera,7896094921344,,,33.11,25.79,25.79,7.32,7.32,https://www.drogariaveracruz.com.br/buscofem-400mg-10-capsulas/p,,
Vera Cruz,Doss 7.000UI 12 cápsulas gelatinosas moles,Biolab Sanus,7896112400134,,,48.06,32.87,32.87,15.19,15.19,https://www.drogariaveracruz.com.br/suplemento-alimentar-doss-7000ui-vitamina-d3-12-capsulas-gelatinosas-moles/p,,
Vera Cruz,Kaloba 825mg/ml Gotas 20ml,Takeda,7896641804380,,,105.13,85.89,85.89,19.24,19.24,https://www.drogariaveracruz.com.br/kaloba-825mgml-gotas-20ml/p,,
Vera Cruz,Doss 50.000UI 8 cápsulas gelatinosas moles,Biolab Sanus,7896112400172,,,166.5,101.23,101.23,65.27,65.27,https://www.drogariaveracruz.com.br/suplemento-alimentar-doss-50000ui-vitamina-d3-8-capsulas-gelatinosas-moles/p,,
Vera Cruz,Def B 1.000mcg 30 comprimidos sublinguais,Biolab,7896112408666,,,52.5,38.9,38.9,13.6,13.6,https://www.drogariaveracruz.com.br/def-b-1000mcg-30-comprimidos-sublinguais/p,,
Vera Cruz,Traumeel S Pomada 50g,Herbarium,7898908753172,,,97.9,82.77,82.77,15.13,15.13,https://www.drogariaveracruz.com.br/traumeel-s-pomada-50g/p,,
Vera Cruz,Besomed Almeida Prado 60 comprimidos,Almeida Prado,7898037081252,,,56.9,50.27,50.27,6.63,6.63,https://www.drogariaveracruz.com.br/besomed-almeida-prado-60-comprimidos/p,,
Farmaponte,Quelatus Bari 60 Comprimidos,Momenta Farma,7891317015510,Cód: 1034530,Vitaminas & Minerais,152.57,134.55,134.55,18.02,18.02,https://www.farmaponte.com.br/quelatus-bari-60cpr/p,,-12
Farmaponte,"Suplemento Calceos Kids Cereja, 200ml",Myralis,7898430194467,Cód: 1010537,Calcificantes,63.67,46.21,46.21,17.46,17.46,https://www.farmaponte.com.br/suplemento-calceos-kids-morango-200ml/p,,-27
Farmaponte,"Expec 0,4mg Ml + 20mg Ml + 4mg Ml + 6mg Ml, Caixa Com 1 Frasco Com 120ml De Xarope",,7896004812168,Cód: 40614,Broncodilatador,51.79,36.86,36.86,14.93,14.93,https://www.farmaponte.com.br/expec-04mgml-20mgml-4mgml-6mgml-caixa-com-1-frasco-com-120ml-de-xarope/p,,-29
Farmaponte,"Glifage Xr 500mg, Caixa Com 30 Comprimidos De Acao Prolongada",Merck,7891721201806,Cód: 796681,Antidiabéticos,11.96,10.08,10.08,1.88,1.88,https://www.farmaponte.com.br/glifage-xr-500mg-caixa-com-30-comprimidos-de-acao-prolongada/p,,-16
Farmaponte,"Ciprofibrato Biolab Genericos 100mg, Caixa Com 30 Comprimidos",Biolab Genéricos,7896112401193,Cód: 1037367,Redutor De Colesterol Antihipertensivo,61.23,34.2,34.2,27.03,27.03,https://www.farmaponte.com.br/ciprofibrato-biolab-genericos-100mg-caixa-com-30-comprimidos/p,,-44
Farmaponte,"Venocel 100mg, Caixa Com 30 Capsulas Gelatinosas",Cifarma,7898495605960,Cód: 1025758,Antivaricoso,27.23,17.05,17.05,10.18,10.18,https://www.farmaponte.com.br/venocel-100mg-caixa-com-30-capsulas-gelatinosas/p,,-37
Farmaponte,"Sinvastatina Ems 20mg, Caixa Com 30 Comprimidos Revestidos",Ems,7896004710761,Cód: 805839,Redutor De Colesterol Antihipertensivo,49.41,10.28,10.28,39.13,39.13,https://www.farmaponte.com.br/sinvastatina-ems-20mg-caixa-com-30-comprimidos-revestidos/p,,-79
Farmaponte,"Kollagenase 0,6u G, Caixa Com 1 Bisnaga Com 30g De Pomada De Uso Dermatologico + Espatula",Laboratório Cristália,7896676427745,Cód: 87181,Cicatrizante,74.8,67.44,67.44,7.36,7.36,https://www.farmaponte.com.br/kollagenase-06ug-caixa-com-1-bisnaga-com-30g-de-pomada-de-uso-dermatologico-espatula/p,,-10
Farmaponte,Suplemento Combi Ad 30ml Solução Com Pipeta,Aché,7896658029806,Cód: 1032613,Vitaminas & Minerais,60.96,54.87,54.87,6.09,6.09,https://www.farmaponte.com.br/combi-ad-susp-30mlpipeta/p,,-10
Farmaponte,"Roupa Intima Sensaty Pants P M, 16 Unidades",Sensaty,7891522042110,Cód: 1037655,Fralda Adulta e Roupa Íntima,69.6,54.58,54.58,15.02,15.02,https://www.farmaponte.com.br/roupa-intima-sensaty-pants-pm-16-unidades/p,,-22
Farmaponte,Tamarine 12mg Com 20 Cápsulas,Cosmed,7896094906594,Cód: 1015682,Laxantes e Purgantes,100.64,78.9,78.9,21.74,21.74,https://www.farmaponte.com.br/tamarine-12mg-caixa-com-20-capsulas/p,,-22
Farmaponte,Pant Solucao Capilar 50ml Com 3 Unidades,Aché,7896658035340,Cód: 1037999,Dermatológico,193.33,162.93,162.93,30.4,30.4,https://www.farmaponte.com.br/pant-50mg-sol-capilar-50ml-c-3un/p,,-16
Farmaponte,"Desodalina 600mg, 60 Capsulas",Sanibrás,7898158498786,Cód: 1038684,Suplemento Alimentar,70.39,61.35,61.35,9.04,9.04,https://www.farmaponte.com.br/desodalina-600mg-60-capsulas/p,,-13
Farmaponte,Calmasyn 900mg 20 Comprimidos,None,7898495608923,Cód: 1047154,Analgésico Antitérmico,73.51,37.83,37.83,35.68,35.68,https://www.farmaponte.com.br/calmasyn-900mg-20-comprimidos/p,,-49
Farmaponte,Roupa Intima Tena Pants Noturna G Eg Com 24 Unidades,Tena,7896770982256,Cód: 1046799,Fralda Adulta e Roupa Íntima,136.83,120.44,120.44,16.39,16.39,https://www.farmaponte.com.br/roupa-intima-tena-pants-noturna-g-eg-com-24-unidades/p,,-12
Farmaponte,"Seringa Bd Luer Lock Sem Agulha, Capacidade De 3ml",Bd,7891463002655,Cód: 1036274,Acessórios para a Saúde,1.67,1.47,1.47,0.2,0.2,https://www.farmaponte.com.br/seringa-bd-luer-lock-sem-agulha-capacidade-de-3ml/p,,-12
Farmaponte,Sal Amargo Farmax 30 Gramas,Farmax,7896902206458,Cód: 1001219,Laxantes e Purgantes,3.5,3.43,3.43,0.07,0.07,https://www.farmaponte.com.br/sal-amargo-farmax-30gr/p,,-2
Farmaponte,Aparelho De Pressão Digital De Pulso G-Tech Bgp400,None,7898639692948,Cód: 1042897,Medidor de Pressão,122.22,97.9,97.9,24.32,24.32,https://www.farmaponte.com.br/aparelho-de-pressao-digital-de-pulso-g-tech-bgp400/p,,-20
Farmaponte,Roupa Intima Plenitud Femme G Xg Lv 16 Pg 15,Plenitud,7896007550036,Cód: 1039433,Fralda Adulta e Roupa Íntima,80.96,57.47,57.47,23.49,23.49,https://www.farmaponte.com.br/roupa-int-plenitud-femme-gxg-l16p15/p,,-29
Farmaponte,Zirvit Multi 30 Comprimidos Rev,Arese Pharma,7899824401048,Cód: 1001699,Vitaminas & Minerais,111.9,100.89,100.89,11.01,11.01,https://www.farmaponte.com.br/zirvit-multi-30cpr-rev/p,,-10
Farmaponte,Rosuvastatina Cálcica 20mg Com 30 Comprimidos Genérico Sandoz,Sandoz,7897595635808,Cód: 1002725,Redutor De Colesterol Antihipertensivo,138.09,63.6,63.6,74.49,74.49,https://www.farmaponte.com.br/rosuvastatina-20mg-30cpr-l3-sdz/p,,-54
Farmaponte,"Loceryl Esmalte 50mg Ml, Caixa Com 1 Frasco Com 2,5ml De Esmalte De Uso Dermatologico + 10 Espatulas + 30 Compressas + 30 Lixas",Galderma,7897930776722,Cód: 69108,Antimicotico,232.92,190.91,190.91,42.01,42.01,https://www.farmaponte.com.br/loceryl-esmalte-50mgml-caixa-com-1-frasco-com-25ml-de-esmalte-de-uso-dermatologico-10-espatulas-30-compressas-30-lixas/p,,-18
Farmaponte,"Tamarine 4,878mg G + 4,719mg G, Frasco Com 150g De Geleia Uso Oral, Zero Acucar",Cosmed,7897322709789,Cód: 1032899,Laxantes e Purgantes,95.82,75.13,75.13,20.69,20.69,https://www.farmaponte.com.br/tamarine-4878mgg-4719mgg-frasco-com-150g-de-geleia-uso-oral-zero-acucar/p,,-22
Farmaponte,"Picoprep Contém 2 Sachês Com 16,1g Cada - Sabor Laranja",Ferring,7896165600727,Cód: 1031773,Laxantes e Purgantes,53.34,52.27,52.27,1.07,1.07,https://www.farmaponte.com.br/picoprep-10mg-35g-12g-caixa-com-2-saches-de-po-para-preparo-extemporaneo-de-uso-oral/p,,-2
Farmaponte,Artrogen Duo 30 Saches De 11g Com Po Para Solucao Oral,Aché,7896658033278,Cód: 1031830,Vitaminas & Minerais,220.0,176.79,176.79,43.21,43.21,https://www.farmaponte.com.br/artrogen-duo-30-saches-de-11g-com-po-para-solucao-oral/p,,-20
Farmaponte,Colaten Plenne Com 30 Saches,None,7896226109718,Cód: 1046810,Relaxante Muscular,202.18,176.3,176.3,25.88,25.88,https://www.farmaponte.com.br/colaten-plenne-com-30-saches/p,,-13
Farmaponte,Luvis Gold 60 Cápsulas Moles,None,7896006219002,Cód: 1043196,Vitaminas & Minerais,183.9,152.77,152.77,31.13,31.13,https://www.farmaponte.com.br/luvis-gold-60caps/p,,-17
Farmaponte,Sintocalmy 600mg 30 Comprimidos Revestidos,Aché,7896658021428,Cód: 1010313,Hipnóticos Sedativos,85.85,68.15,68.15,17.7,17.7,https://www.farmaponte.com.br/sintocalmy-600mg-caixa-com-30-comprimidos-revestidos/p,,-21
Farmaponte,Fluconazol - Medley 150mg Caixa Com 2 Cápsulas,None,7896422505079,Cód: 702269,Antimicotico,39.76,11.69,11.69,28.07,28.07,https://www.farmaponte.com.br/fluconazol-medley-150mg-caixa-com-2-capsulas/p,,-71
Farmaponte,"Rosuvastatina Calcica Ems 20mg, Caixa Com 30 Comprimidos Revestidos",Ems,7896004728858,Cód: 1009124,Redutor De Colesterol Antihipertensivo,198.59,38.93,38.93,159.66,159.66,https://www.farmaponte.com.br/rosuvastatina-calcica-ems-20mg-caixa-com-30-comprimidos-revestidos/p,,-80
Farmaponte,"Sal De Frutas Eno 2 Envelopes Com 5g De Po Efervescente De Uso Oral, Laranja",Pf Consumer Healthcare,7896015560034,Cód: 41335,Digestivo,4.94,4.84,4.84,0.1,0.1,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-laranja/p,,-2
Farmaponte,Prosso Km 30 Tabletes,Momenta,7899640808243,Cód: 1034591,Vitaminas & Minerais,148.39,124.86,124.86,23.53,23.53,https://www.farmaponte.com.br/prosso-km-30tab/p,,-16
Farmaponte,"Sinvastatina Multilab Nova Quimica 20mg, Caixa Com 30 Comprimidos Revestidos",Multilab,7895296449274,Cód: 1039715,Redutor De Colesterol Antihipertensivo,18.18,9.8,9.8,8.38,8.38,https://www.farmaponte.com.br/sinvastatina-multilab-20mg-caixa-com-30-comprimidos-revestidos/p,,-46
Farmaponte,Kit Renu Fresh 355ml + 120ml + Estojo Para Lentes,Renu,7896046381004,Cód: 84417,Lubrificante Ocular,60.26,48.9,48.9,11.36,11.36,https://www.farmaponte.com.br/solucao-multiproposito-renu-fresh-355ml-gratis-120ml-estojo-para-lentes/p,,-19
Farmaponte,Nicorette 4 Mg Mint 30 Gomas,Janssen-Cilag,7891010970888,Cód: 796517,Antitabagismo,120.65,106.42,106.42,14.23,14.23,https://www.farmaponte.com.br/nicorette-4mg-mint-30gomas/p,,-12
Farmaponte,Aflexa Colágeno 60 Cápsulas,Kester,7908135001417,Cód: 1036694,Relaxante Muscular,89.9,88.1,88.1,1.8,1.8,https://www.farmaponte.com.br/aflexa-60cps/p,,-2
Farmaponte,Suplemento Alimentar Imunoglucan Ds 60 Cápsulas,Hebron,7896685303634,Cód: 1039231,Vitaminas & Minerais,146.43,126.28,126.28,20.15,20.15,https://www.farmaponte.com.br/imunoglucan-ds-60caps/p,,-14
Farmaponte,Repelente Xo Inseto Icaridina 25  Spr 100ml,None,7897947613072,Cód: 1037601,Relaxante Muscular,96.97,51.84,51.84,45.13,45.13,https://www.farmaponte.com.br/repelente-xo-inseto-icaridina-25-spr-100ml/p,,-47
Farmaponte,"Neosoro Fluid Alto Volume 0,9  Para Lavagem Nasal Com 30 Sachês E Frasco Aplicador De 240ml",None,7896714295305,Cód: 1049227,Analgésico Antitérmico,91.5,47.72,47.72,43.78,43.78,https://www.farmaponte.com.br/neosoro-fluid-alto-volume-09-para-lavagem-nasal-com-30-saches-e-frasco-aplicador-de-240ml/p,,-48
Farmaponte,Suplemento Vitamínico E Mineral Puravit Imune Sabor Maça Verde 75ml + Seringa Dosadora,Myralis,7898430194849,Cód: 1036284,Vitaminas & Minerais,70.73,63.6,63.6,7.13,7.13,https://www.farmaponte.com.br/puravit-imune-caixa-com-1-frasco-com-75ml-de-solucao-de-uso-oral/p,,-10
Farmaponte,Colágeno Condres 90 Cápsulas,Ems,7894916515207,Cód: 1038779,Relaxante Muscular,255.84,204.79,204.79,51.05,51.05,https://www.farmaponte.com.br/condres-40mg-caixa-com-90-capsulas/p,,-20
Farmaponte,Simbioflora 15 Saches Com 6g De Po Para Solucao De Uso Oral,Farmoquímica,7898040323806,Cód: 1010389,Regulador Intestinal,109.78,80.5,80.5,29.28,29.28,https://www.farmaponte.com.br/simbioflora-15-saches-com-6g-de-po-para-solucao-de-uso-oral/p,,-27
Farmaponte,"Sinvastatina Sandoz 20mg, Caixa Com 30 Comprimidos Revestidos",Sandoz,7897595609854,Cód: 792225,Redutor De Colesterol Antihipertensivo,123.59,10.44,10.44,113.15,113.15,https://www.farmaponte.com.br/sinvastatina-sandoz-20mg-caixa-com-30-comprimidos-revestidos/p,,-92
Farmaponte,Leite De Magnesia Eno 350ml,Gsk,7896015591946,Cód: 1039919,Laxantes e Purgantes,35.7,31.49,31.49,4.21,4.21,https://www.farmaponte.com.br/leite-de-magnesia-eno-350ml/p,,-12
